user_id,item_id,type,color,material,size,style,favorite,special_property
1,1,Coat,Red,Leather,M,Casual,0,None
1,2,Sweater,Beige,Wool,M,Casual,0,None
1,3,Sweater,Gray,Leather,S,Evening,1,None
1,4,Shirt,Green,Cotton,L,Formal,0,None
1,5,T-shirt,Blue,Wool,S,Evening,1,Non-restrictive
1,6,Shorts,Gray,Denim,M,Sporty,1,None
1,7,Skirt,Green,Wool,XL,Sporty,0,None
1,8,Shorts,Black,Polyester,XS,Casual,0,Quick-drying
1,9,Skirt,Red,Linen,XL,Sporty,0,None
1,10,Shorts,Red,Polyester,XXL,Formal,0,Breathable
1,11,Skirt,Red,Polyester,S,Evening,0,None
2,12,Coat,Gray,Linen,XS,Evening,1,Anti-chafing
2,13,Sweatshirt,Beige,Leather,S,Evening,0,Anti-chafing
2,14,T-shirt,Green,Leather,XS,Sporty,0,None
2,15,Shirt,Beige,Wool,M,Evening,0,None
2,16,Sweater,Green,Polyester,S,Evening,1,None
2,17,Shorts,White,Denim,XL,Evening,0,None
2,18,Skirt,White,Wool,XL,Formal,1,Anti-chafing
2,19,Shorts,Beige,Denim,M,Sporty,0,None
2,20,Trousers,Blue,Cotton,L,Evening,0,Anti-chafing
2,21,Skirt,Beige,Leather,M,Evening,1,Non-restrictive
2,22,Sweater,Gray,Linen,S,Casual,0,Anti-chafing
2,23,Jacket,Red,Linen,L,Evening,1,Windproof
2,24,Skirt,Beige,Linen,XS,Formal,0,None
2,25,Dress,Gray,Cotton,L,Casual,0,Breathable
2,26,Trousers,Blue,Cotton,XXL,Casual,0,Quick-drying
2,27,Trousers,Beige,Wool,XXL,Evening,0,Quick-drying
2,28,T-shirt,Gray,Cotton,S,Evening,0,None
2,29,Sweater,White,Leather,XS,Casual,0,None
2,30,Sweatshirt,Red,Denim,XL,Casual,0,Breathable
2,31,Sweatshirt,Green,Linen,S,Formal,0,Quick-drying
3,32,Coat,Blue,Wool,XS,Formal,0,Quick-drying
3,33,Sweatshirt,Gray,Denim,M,Evening,0,Insulated
3,34,Shirt,Blue,Denim,XL,Evening,0,Quick-drying
3,35,Sweater,Black,Wool,M,Evening,0,Insulated
3,36,T-shirt,Beige,Polyester,XS,Evening,0,None
3,37,Skirt,Beige,Denim,S,Sporty,0,None
3,38,Trousers,Red,Linen,XS,Casual,0,Quick-drying
3,39,Trousers,Green,Wool,XS,Sporty,0,None
3,40,Skirt,Red,Denim,XS,Evening,0,None
3,41,Shorts,Red,Denim,M,Formal,1,None
3,42,Sweatshirt,Black,Denim,M,Casual,0,Insulated
4,43,Shirt,White,Denim,XL,Evening,0,None
4,44,Coat,Blue,Cotton,XS,Evening,0,Breathable
4,45,Coat,Gray,Denim,XXL,Formal,0,Breathable
4,46,Sweater,Blue,Polyester,XL,Casual,0,None
4,47,T-shirt,Green,Linen,XL,Sporty,0,None
4,48,Trousers,White,Linen,L,Casual,0,Breathable
4,49,Skirt,Red,Cotton,XL,Casual,0,Anti-chafing
4,50,Skirt,Blue,Linen,XS,Sporty,0,None
4,51,Skirt,White,Wool,S,Formal,1,None
4,52,Skirt,Gray,Polyester,XXL,Formal,0,None
4,53,Skirt,White,Cotton,XS,Formal,0,Anti-chafing
5,54,Sweatshirt,Beige,Polyester,M,Casual,0,Quick-drying
5,55,Sweatshirt,Beige,Cotton,L,Evening,0,None
5,56,Jacket,Gray,Linen,M,Sporty,0,Waterproof
5,57,Coat,Beige,Denim,M,Formal,0,Anti-chafing
5,58,Jacket,Black,Polyester,XXL,Evening,0,Non-restrictive
5,59,Shorts,Blue,Linen,XL,Evening,0,Quick-drying
5,60,Trousers,Beige,Linen,XXL,Evening,0,Non-restrictive
5,61,Skirt,Beige,Linen,XL,Evening,0,None
5,62,Trousers,Beige,Wool,L,Sporty,0,None
5,63,Trousers,Gray,Cotton,L,Casual,0,None
5,64,Jacket,White,Leather,XL,Evening,0,None
6,65,Coat,Green,Denim,XL,Sporty,0,None
6,66,Sweater,Green,Denim,XS,Formal,0,Non-restrictive
6,67,T-shirt,Gray,Denim,XXL,Casual,0,None
6,68,Sweatshirt,Green,Linen,XS,Formal,0,None
6,69,Sweatshirt,Gray,Leather,L,Evening,0,None
6,70,Skirt,Black,Cotton,XL,Evening,0,None
6,71,Skirt,Black,Cotton,L,Evening,1,None
6,72,Shorts,Blue,Linen,XS,Casual,0,Anti-chafing
6,73,Skirt,White,Cotton,S,Evening,0,Quick-drying
6,74,Skirt,Gray,Polyester,XL,Formal,0,None
6,75,Trousers,Green,Polyester,S,Formal,1,None
6,76,Coat,Red,Polyester,XL,Casual,1,None
6,77,Shirt,White,Leather,XL,Evening,0,None
6,78,Trousers,Blue,Cotton,M,Evening,0,Non-restrictive
6,79,Trousers,Beige,Denim,XL,Casual,0,Non-restrictive
6,80,Shorts,Blue,Cotton,XXL,Casual,0,None
6,81,Shorts,Gray,Leather,M,Casual,0,Anti-chafing
6,82,Shorts,Blue,Linen,XS,Evening,1,None
6,83,Shirt,Blue,Polyester,XL,Sporty,0,Quick-drying
7,84,Sweater,Green,Linen,XL,Evening,0,Anti-chafing
7,85,Blazer,Black,Polyester,XXL,Formal,0,Non-restrictive
7,86,Blazer,Blue,Wool,S,Evening,0,None
7,87,Shirt,White,Leather,XXL,Formal,0,None
7,88,T-shirt,Black,Wool,S,Casual,0,Breathable
7,89,Skirt,Green,Cotton,XXL,Casual,1,None
7,90,Trousers,Red,Linen,XXL,Sporty,0,Quick-drying
7,91,Shorts,Beige,Wool,S,Sporty,0,None
7,92,Trousers,Green,Polyester,L,Formal,0,None
7,93,Trousers,Beige,Cotton,XS,Casual,0,None
8,94,T-shirt,White,Denim,XL,Formal,0,None
8,95,Blazer,Green,Leather,XXL,Sporty,1,Quick-drying
8,96,Sweater,Blue,Linen,XS,Sporty,0,Breathable
8,97,Coat,Beige,Cotton,XL,Formal,0,Non-restrictive
8,98,T-shirt,Blue,Linen,S,Evening,1,Quick-drying
8,99,Trousers,Black,Linen,L,Evening,0,None
8,100,Trousers,White,Linen,M,Sporty,0,None
8,101,Trousers,Red,Leather,L,Casual,0,None
8,102,Trousers,Gray,Polyester,M,Casual,0,None
8,103,Shorts,Gray,Polyester,M,Casual,0,None
8,104,T-shirt,Black,Cotton,M,Formal,0,Breathable
8,105,Dress,Blue,Cotton,XL,Formal,0,Non-restrictive
8,106,T-shirt,Green,Denim,L,Casual,1,Breathable
8,107,Sweater,Green,Leather,XL,Formal,1,Insulated
8,108,Blazer,Gray,Cotton,XXL,Sporty,0,Quick-drying
9,109,Jacket,White,Cotton,S,Sporty,0,Waterproof
9,110,Sweatshirt,Black,Denim,XXL,Sporty,0,Insulated
9,111,Jacket,Red,Leather,XXL,Sporty,0,None
9,112,Coat,Beige,Leather,XL,Formal,1,Non-restrictive
9,113,Jacket,Red,Polyester,XXL,Formal,0,Non-restrictive
9,114,Skirt,Blue,Polyester,L,Formal,0,Non-restrictive
9,115,Shorts,Beige,Polyester,M,Casual,0,None
9,116,Trousers,Black,Cotton,L,Evening,0,Breathable
9,117,Trousers,Black,Leather,XXL,Sporty,0,None
9,118,Skirt,White,Wool,XXL,Evening,0,Quick-drying
9,119,Shorts,Blue,Wool,M,Evening,0,None
9,120,Sweater,Blue,Leather,XL,Evening,0,Breathable
9,121,Blazer,Gray,Cotton,XL,Evening,0,None
9,122,T-shirt,Gray,Polyester,XL,Casual,0,Non-restrictive
9,123,Shorts,Gray,Denim,M,Evening,0,None
9,124,Shirt,White,Cotton,M,Evening,0,Non-restrictive
9,125,Trousers,Gray,Denim,S,Sporty,0,None
10,126,Blazer,Black,Denim,M,Sporty,0,Non-restrictive
10,127,Coat,Gray,Wool,L,Formal,0,None
10,128,Sweater,Beige,Cotton,XL,Formal,0,Insulated
10,129,Coat,Gray,Polyester,XXL,Casual,1,Quick-drying
10,130,T-shirt,Red,Polyester,M,Casual,0,Quick-drying
10,131,Skirt,Gray,Polyester,XS,Sporty,0,Anti-chafing
10,132,Shorts,Red,Polyester,S,Evening,0,Breathable
10,133,Trousers,White,Cotton,XL,Casual,0,Non-restrictive
10,134,Shorts,Blue,Denim,XXL,Sporty,0,None
10,135,Skirt,Blue,Wool,XL,Evening,0,None
10,136,Dress,Red,Denim,XXL,Formal,0,None
10,137,Shorts,Black,Wool,S,Casual,0,Breathable
10,138,Skirt,Gray,Linen,M,Casual,0,Quick-drying
11,139,Coat,White,Polyester,XXL,Formal,0,None
11,140,Coat,Red,Leather,M,Casual,0,None
11,141,Sweatshirt,Green,Polyester,L,Casual,0,Quick-drying
11,142,T-shirt,Beige,Leather,XS,Casual,0,None
11,143,Jacket,Beige,Wool,XXL,Casual,1,Quick-drying
11,144,Shorts,Gray,Leather,M,Formal,0,None
11,145,Trousers,Gray,Linen,XL,Sporty,0,Breathable
11,146,Shorts,Blue,Leather,XL,Sporty,0,None
11,147,Shorts,Red,Cotton,XL,Casual,0,None
11,148,Skirt,Gray,Wool,XL,Casual,0,Non-restrictive
12,149,T-shirt,White,Cotton,S,Casual,1,None
12,150,Coat,Blue,Denim,XXL,Sporty,0,None
12,151,Shirt,Beige,Leather,XS,Formal,1,Quick-drying
12,152,Blazer,Gray,Cotton,XS,Casual,0,None
12,153,Jacket,Red,Denim,S,Casual,1,Insulated
12,154,Shorts,Gray,Leather,L,Evening,0,Non-restrictive
12,155,Trousers,Green,Leather,L,Casual,0,Non-restrictive
12,156,Skirt,Blue,Linen,L,Sporty,0,Quick-drying
12,157,Skirt,Gray,Polyester,XXL,Evening,0,None
12,158,Shorts,Blue,Linen,S,Evening,0,None
13,159,Coat,Red,Wool,L,Evening,1,Anti-chafing
13,160,Blazer,Beige,Polyester,XS,Sporty,0,Breathable
13,161,Sweater,Green,Denim,XS,Sporty,0,Breathable
13,162,Blazer,Green,Polyester,XXL,Formal,1,None
13,163,Coat,Gray,Wool,XL,Casual,0,None
13,164,Trousers,Green,Polyester,XS,Sporty,0,None
13,165,Skirt,Gray,Polyester,S,Formal,1,None
13,166,Skirt,Blue,Linen,M,Formal,0,Non-restrictive
13,167,Shorts,Green,Cotton,XS,Sporty,0,None
13,168,Shorts,Green,Cotton,XS,Casual,0,Breathable
13,169,Trousers,White,Cotton,XL,Sporty,0,None
13,170,Sweater,Gray,Denim,XL,Casual,0,None
13,171,Trousers,Blue,Polyester,XS,Sporty,0,None
