user_id,item_id,type,color,material,size,season,style,favorite,special_property
1,1,Sweatshirt,Green,Wool,XL,Summer,Sporty,0,Non-restrictive
1,2,T-shirt,Blue,Leather,L,Spring/Autumn,Evening,0,Anti-chafing
1,3,Shirt,Red,Jeans,XXL,Winter,Evening,1,Insulated
1,4,Sweatshirt,Black,Jeans,XL,Spring/Autumn,Casual,0,Windproof
1,5,Shirt,Red,Linen,XXL,Winter,Sporty,0,Quick-drying
1,6,Coat,Red,Cotton,M,Summer,Sporty,0,Insulated
1,7,Coat,Black,Linen,XS,Spring/Autumn,Formal,1,Insulated
1,8,Jacket,Green,Polyester,L,Spring/Autumn,Sporty,0,Quick-drying
1,9,Coat,Beige,Wool,XXL,Summer,Evening,0,Quick-drying
1,10,Jacket,Gray,Jeans,XXL,Winter,Evening,0,Non-restrictive
1,11,Trousers,Black,Linen,S,Winter,Formal,1,Non-restrictive
1,12,Shorts,Gray,Linen,XS,Winter,Evening,1,Anti-chafing
1,13,Trousers,Beige,Leather,S,Summer,Evening,0,Anti-chafing
1,14,Skirt,Green,Leather,XS,Summer,Sporty,0,Insulated
1,15,Shorts,Blue,Wool,XS,Spring/Autumn,Sporty,0,Windproof
1,16,Shorts,Beige,Polyester,XS,Spring/Autumn,Sporty,1,Quick-drying
1,17,Shirt,White,Jeans,XL,All-year,Evening,0,Windproof
1,18,T-shirt,White,Wool,XL,All-year,Formal,1,Anti-chafing
1,19,Shorts,Beige,Jeans,M,Summer,Sporty,0,Waterproof
2,20,Sweatshirt,Green,Wool,XS,Spring/Autumn,Casual,0,Breathable
2,21,Blazer,Beige,Leather,M,Summer,Evening,1,Non-restrictive
2,22,T-shirt,Blue,Jeans,L,Winter,Formal,1,Insulated
2,23,Blazer,Gray,Linen,L,Spring/Autumn,Evening,0,Breathable
2,24,T-shirt,Black,Linen,XS,All-year,Formal,0,Insulated
2,25,Coat,Gray,Cotton,L,Summer,Casual,0,Breathable
2,26,Jacket,Blue,Cotton,XXL,Summer,Casual,0,Quick-drying
2,27,Jacket,Beige,Wool,XXL,Spring/Autumn,Evening,0,Quick-drying
2,28,Coat,Gray,Cotton,S,Spring/Autumn,Evening,0,Waterproof
2,29,Coat,White,Leather,XS,Spring/Autumn,Casual,0,Waterproof
2,30,Trousers,Red,Jeans,XL,Spring/Autumn,Casual,0,Breathable
2,31,Trousers,Green,Linen,S,Spring/Autumn,Formal,0,Quick-drying
2,32,Shorts,Blue,Wool,XS,All-year,Formal,0,Quick-drying
2,33,Trousers,Gray,Jeans,M,All-year,Evening,0,Insulated
2,34,Shorts,Gray,Leather,M,Spring/Autumn,Evening,0,Windproof
